Time,Command Linear Velocity,Command Angular Velocity,Robot's Linear Velocity,Robot's Angular Velocity
0.0,0.0,1.5,0.0367,0.0373
0.1,0.0,1.5,-0.0409,0.0248
0.2,0.0,1.5,0.0112,0.0261
0.3,0.0,1.5,0.0152,0.0269
0.4,0.0,1.5,0.0271,0.026
0.5,0.0,1.5,0.017,0.0242
0.6,0.0,1.5,-0.01,0.0333
0.7,0.0,1.5,0.0073,0.0345
0.8,0.0,1.5,0.0317,0.0319
0.9,0.0,1.5,0.0181,0.0371
1.0,0.0,1.5,0.0248,0.0414
1.1,0.0,1.5,0.0143,0.0376
1.2,0.0,1.5,0.0159,0.0418
1.3,0.0,1.5,0.0084,0.0469
1.4,0.0,1.5,0.0129,0.0467
1.5,0.0,1.5,0.0183,0.0498
1.6,0.0,1.5,0.0078,0.0558
1.7,0.0,1.5,0.0327,0.0638
1.8,0.0,1.5,0.0236,0.0625
1.9,0.0,1.5,0.0152,0.0717
2.0,0.0,1.5,0.0042,0.0742
2.1,0.0,1.5,0.0156,0.0902
2.2,0.0,1.5,0.0178,0.093
2.3,0.0,1.5,0.0224,0.0938
2.4,0.0,1.5,0.0144,0.1043
2.5,0.0,1.5,0.0204,0.1199
2.6,0.0,1.5,0.0289,0.1224
2.7,0.0,1.5,0.0173,0.1358
2.8,0.0,1.5,0.0053,0.1493
2.9,0.0,1.5,0.0274,0.1602
3.0,0.0,1.5,0.0295,0.1739
3.1,0.0,1.5,0.018,0.1949
3.2,0.0,1.5,0.0292,0.2155
3.3,0.0,1.5,0.023,0.2317
3.4,0.0,1.5,0.0095,0.2422
3.5,0.0,1.5,0.0369,0.2831
3.6,0.0,1.5,0.0193,0.311
3.7,0.0,1.5,0.0279,0.3287
3.8,0.0,1.5,0.0009,0.3448
3.9,0.0,1.5,0.0276,0.3963
4.0,0.0,1.5,0.0271,0.4404
4.1,0.0,1.5,0.0324,0.4852
4.2,0.0,1.5,0.0057,0.5242
4.3,0.0,1.5,0.0002,0.5794
4.4,0.0,1.5,0.0175,0.6102
4.5,0.0,1.5,0.0079,0.6172
4.6,0.0,1.5,0.0061,0.6318
4.7,0.0,1.5,-0.0241,0.6358
4.8,0.0,1.5,-0.0149,0.6096
4.9,0.0,1.5,0.0291,0.5326
5.0,0.0,1.5,-0.0078,0.4961
5.1,0.0,1.5,-0.0295,0.4401
5.2,0.0,1.5,-0.0115,0.3863
5.3,0.0,1.5,-0.0342,0.3595
5.4,0.0,1.5,-0.0259,0.3335
5.5,0.0,1.5,-0.0356,0.295
5.6,0.0,1.5,-0.0286,0.2534
5.7,0.0,1.5,-0.0297,0.2448
5.8,0.0,1.5,-0.0089,0.2129
5.9,0.0,1.5,-0.0211,0.1996
6.0,0.0,1.5,-0.0341,0.1804
6.1,0.0,1.5,-0.0337,0.1695
6.2,0.0,1.5,-0.0265,0.1548
6.3,0.0,1.5,-0.0184,0.1382
6.4,0.0,1.5,-0.0404,0.125
6.5,0.0,1.5,-0.0192,0.1147
6.6,0.0,1.5,-0.0209,0.1038
6.7,0.0,1.5,-0.0247,0.0975
6.8,0.0,1.5,-0.0186,0.0913
6.9,0.0,1.5,-0.0286,0.0789
7.0,0.0,1.5,-0.0277,0.0743
7.1,0.0,1.5,-0.0403,0.0717
7.2,0.0,1.5,-0.0453,0.062
7.3,0.0,1.5,-0.0235,0.0573
7.4,0.0,1.5,-0.0322,0.0545
7.5,0.0,1.5,-0.033,0.051
7.6,0.0,1.5,-0.0287,0.0506
7.7,0.0,1.5,-0.028,0.0455
7.8,0.0,1.5,-0.0283,0.0383
7.9,0.0,1.5,-0.0014,0.0394
8.0,0.0,1.5,-0.0243,0.0372
8.1,0.0,1.5,-0.034,0.0312
8.2,0.0,1.5,-0.0162,0.0315
8.3,0.0,1.5,-0.0246,0.0297
8.4,0.0,1.5,0.002,0.0275
8.5,0.0,1.5,-0.0031,0.0293
8.6,0.0,1.5,-0.0109,0.0282
8.7,0.0,1.5,-0.0366,0.0238
8.8,0.0,1.5,-0.0304,0.0281
8.9,0.0,1.5,-0.0053,0.0241
9.0,0.0,1.5,-0.0052,0.0274
9.1,0.0,1.5,0.0165,0.0231
9.2,0.0,1.5,0.0003,0.0221
9.3,0.0,1.5,-0.0015,0.0264
9.4,0.0,1.5,0.0143,0.026
9.5,0.0,1.5,0.028,0.0248
9.6,0.0,1.5,0.0071,0.0292
9.7,0.0,1.5,0.007,0.0271
9.8,0.0,1.5,0.0337,0.0304
9.9,0.0,1.5,0.0199,0.0293
10.0,0.0,1.5,0.033,0.0336
10.1,0.0,1.5,0.013,0.0392
